distance_km,traffic_level,weather,peak_hour,special_event,passenger_density,historical_delay,avg_speed,predicted_eta
10.79,8,Rain,0,0,41,8,55,60.24
25.92,4,Clear,0,1,33,11,30,82.67
2.71,7,Rain,0,1,85,1,42,50.51
33.49,5,Fog,1,0,26,15,54,105.19
25.12,9,Clear,1,1,37,2,22,94.93
4.28,2,Clear,1,1,66,9,43,49.55
24.07,10,Fog,0,1,47,13,45,103.96
33.64,2,Rain,1,0,58,9,30,96.25
5.71,8,Clear,1,0,48,11,23,56.36
4.51,1,Clear,0,1,64,1,57,29.36
34.55,9,Rain,1,1,75,13,39,132.36
20.75,10,Clear,1,0,68,4,25,80.5
29.0,10,Rain,1,1,49,0,36,110.0
21.49,4,Clear,1,1,87,1,50,79.94
33.06,2,Fog,1,1,75,0,25,98.21
14.78,9,Clear,0,0,54,15,25,69.03
16.93,2,Clear,1,0,93,10,45,62.6
10.05,7,Rain,1,1,84,6,34,76.66
11.95,8,Fog,1,0,50,8,33,66.73
8.49,6,Fog,1,0,71,6,45,55.3
3.22,4,Rain,1,1,60,3,60,53.68
31.83,5,Rain,1,1,92,2,21,110.35
11.3,4,Fog,1,1,67,14,30,74.91
4.22,5,Clear,0,0,87,7,25,35.07
6.58,8,Rain,0,0,28,13,56,54.6
26.84,6,Clear,0,0,24,10,45,76.69
4.48,7,Clear,0,1,28,5,51,46.28
32.34,9,Clear,0,1,50,0,55,96.0
5.41,2,Clear,0,1,55,5,54,34.26
31.76,10,Fog,1,0,96,0,35,104.1
23.11,1,Fog,0,0,97,9,30,67.32
33.47,5,Rain,1,0,23,13,41,104.03
25.09,10,Clear,0,0,96,1,29,79.37
18.46,1,Clear,1,1,69,4,37,65.54
10.02,5,Fog,0,0,35,0,56,39.99
12.08,3,Rain,0,1,62,7,43,62.3
18.66,2,Rain,0,1,32,6,34,67.79
8.55,9,Rain,1,1,53,1,56,73.7
15.37,6,Rain,0,1,23,11,58,73.52
34.07,1,Rain,0,0,91,2,21,79.66
9.24,4,Clear,1,0,32,9,57,46.91
7.54,3,Fog,1,0,53,14,36,54.43
3.38,9,Fog,1,0,43,15,34,63.03
9.43,1,Rain,1,0,43,9,23,51.56
20.84,10,Clear,0,0,77,7,41,75.3
27.39,4,Clear,1,1,93,11,41,101.36
22.83,4,Rain,0,0,62,4,30,67.48
4.93,10,Clear,0,1,72,14,51,67.54
31.13,10,Clear,0,0,94,13,46,102.05
22.89,3,Fog,1,1,26,0,47,79.35
3.16,5,Clear,1,0,47,1,20,34.37
23.02,5,Clear,0,0,33,4,45,60.42
31.67,3,Fog,0,0,55,8,28,79.97
24.26,6,Clear,0,1,68,5,58,79.41
26.09,4,Fog,1,0,62,1,23,78.84
2.29,7,Rain,1,1,25,11,36,66.39
9.63,7,Clear,0,0,50,8,48,46.25
11.11,9,Clear,0,0,33,8,28,53.17
15.32,5,Rain,0,1,86,0,49,66.59
21.48,6,Clear,0,0,93,1,24,62.14
7.71,8,Clear,0,0,44,5,45,43.97
24.13,9,Rain,1,0,52,8,38,96.02
20.73,10,Fog,0,1,61,8,60,93.9
29.81,5,Clear,0,1,42,0,53,80.01
2.83,1,Clear,0,0,59,6,27,19.29
20.56,4,Rain,1,0,93,11,22,85.02
26.87,1,Rain,0,1,63,10,48,86.27
6.49,6,Fog,0,0,93,14,43,53.83
8.51,1,Clear,1,1,65,1,51,47.62
6.6,6,Rain,0,0,77,10,20,50.35
30.83,8,Rain,0,1,26,1,35,99.06
22.41,6,Fog,1,0,89,8,27,85.13
6.79,8,Clear,1,0,82,7,23,54.91
16.23,5,Fog,0,1,39,11,44,72.85
11.47,2,Clear,1,0,66,4,42,44.19
19.02,8,Fog,0,0,27,0,36,62.89
8.17,8,Fog,0,1,30,9,31,63.7
29.79,1,Fog,1,1,52,7,22,93.04
25.48,6,Fog,1,0,72,10,51,91.05
28.57,3,Rain,1,1,68,4,44,99.21
33.83,2,Rain,0,0,80,0,55,79.13
5.14,1,Rain,1,0,77,6,54,40.95
2.49,2,Clear,1,1,69,10,45,47.48
22.16,9,Clear,0,1,70,13,46,92.9
32.74,5,Fog,1,1,59,8,41,110.77
22.86,6,Rain,0,0,72,14,40,82.87
34.22,4,Fog,0,1,26,9,21,101.28
18.55,2,Rain,0,1,84,8,34,73.47
6.98,9,Clear,1,0,62,0,27,49.79
8.53,10,Rain,0,1,64,12,42,76.46
31.02,2,Fog,0,1,20,5,49,85.31
9.67,6,Rain,0,0,52,3,22,49.2
33.67,6,Clear,0,0,43,3,32,81.66
25.05,9,Fog,0,0,53,11,24,86.73
16.41,6,Fog,1,1,20,1,55,75.95
33.75,3,Rain,1,0,83,11,35,104.39
28.85,8,Fog,0,0,78,1,30,84.58
16.36,5,Clear,0,0,22,12,39,54.81
34.27,10,Clear,1,0,66,2,23,102.77
20.48,5,Fog,0,0,96,12,40,72.57
18.46,7,Clear,0,0,95,7,29,65.93
31.87,10,Fog,1,0,98,5,54,110.46
18.6,7,Clear,1,0,56,1,59,68.4
23.64,5,Rain,0,0,39,4,21,69.95
34.32,3,Clear,0,0,59,8,56,82.58
26.64,5,Fog,1,0,64,14,25,93.78
27.15,2,Fog,0,0,51,11,54,72.17
17.24,7,Fog,0,0,52,8,57,65.74
12.47,3,Clear,0,0,61,10,44,46.42
10.05,3,Rain,1,0,91,12,46,63.39
9.51,10,Rain,1,1,97,2,40,81.94
23.29,3,Clear,0,1,92,12,34,81.39
8.26,4,Fog,1,0,30,8,44,49.84
12.97,2,Fog,0,1,83,12,51,63.5
11.52,5,Rain,0,1,93,2,55,63.68
20.51,10,Fog,0,1,37,12,25,93.51
5.4,4,Clear,1,0,71,13,25,50.08
25.71,6,Clear,1,1,31,5,39,91.68
25.55,5,Rain,0,1,79,8,54,94.32
21.08,10,Clear,1,0,73,13,56,92.24
21.98,5,Rain,0,0,83,12,36,79.32
33.44,10,Fog,0,0,57,12,52,105.87
13.76,5,Fog,0,0,70,0,44,49.15
15.75,4,Rain,1,1,88,12,59,88.57
33.89,7,Rain,0,0,59,13,30,105.73
3.61,2,Clear,0,1,57,0,58,27.19
21.88,9,Clear,1,1,35,7,51,94.53
16.04,6,Fog,0,1,44,1,59,65.5
11.99,4,Fog,1,1,80,10,40,73.72
26.93,6,Clear,1,0,80,7,35,87.43
16.53,1,Rain,0,1,90,5,45,64.52
2.78,4,Rain,0,0,43,5,32,30.91
28.48,1,Fog,1,1,28,3,43,86.39
22.59,9,Fog,1,1,47,9,54,104.74
15.37,7,Rain,0,1,75,5,40,75.11
19.67,6,Rain,1,0,21,4,24,73.02
10.6,4,Fog,0,1,48,2,53,53.31
2.66,10,Clear,0,0,79,14,25,48.47
31.4,2,Fog,0,0,71,3,41,75.19
31.75,1,Rain,0,1,71,11,36,94.79
8.45,5,Fog,1,0,100,2,26,51.6
19.43,10,Rain,0,1,23,11,30,92.0
3.66,2,Fog,0,1,83,14,27,49.91
2.95,1,Clear,0,1,43,3,53,25.3
21.63,1,Fog,1,1,44,15,21,88.41
33.82,4,Rain,0,1,24,13,28,107.23
23.83,1,Rain,0,1,60,9,38,80.53
30.96,3,Rain,1,0,83,6,24,95.83
26.92,8,Rain,1,0,22,0,37,89.71
18.65,5,Clear,0,0,94,0,25,55.1
19.2,8,Rain,1,1,36,7,44,94.65
12.01,6,Fog,0,0,99,6,50,54.75
33.34,3,Clear,0,1,42,7,54,91.8
10.9,7,Fog,1,1,80,15,49,83.99
27.6,1,Fog,0,0,100,12,39,77.02
17.77,6,Clear,1,1,64,1,56,75.32
30.06,1,Rain,0,0,46,2,45,69.3
30.26,1,Rain,0,0,63,5,51,76.28
29.66,10,Clear,0,0,26,8,46,88.58
3.52,6,Rain,0,1,74,13,36,60.06
31.49,1,Rain,1,1,61,9,22,102.8
13.65,7,Clear,0,0,78,3,60,49.82
34.47,8,Fog,0,0,73,8,39,99.02
28.89,4,Rain,1,0,79,2,59,88.75
20.47,2,Fog,1,0,38,7,22,67.46
